Reference, FixingDate, EffectiveDate, MaturityDate, Value
USD-SOFRCMP-OFFSET2-3M,2017-08-03,2017-08-01,2017-11-01,0.010490908118009394
USD-SOFRCMP-OFFSET2-3M,2017-08-04,2017-08-02,2017-11-02,0.01049635731541748
USD-SOFRCMP-OFFSET2-3M,2017-08-07,2017-08-03,2017-11-03,0.010506165889817131
USD-SOFRCMP-OFFSET2-3M,2017-08-08,2017-08-04,2017-11-06,0.010526894703203974
USD-SOFRCMP-OFFSET2-3M,2017-08-09,2017-08-07,2017-11-07,0.010545398708099066
USD-SOFRCMP-OFFSET2-3M,2017-08-10,2017-08-08,2017-11-08,0.010550847984213758
USD-SOFRCMP-OFFSET2-3M,2017-08-11,2017-08-09,2017-11-09,0.010558476981368635
USD-SOFRCMP-OFFSET2-3M,2017-08-14,2017-08-10,2017-11-10,0.01056828571106667
USD-SOFRCMP-OFFSET2-3M,2017-08-15,2017-08-11,2017-11-13,0.010582363195543683
USD-SOFRCMP-OFFSET2-3M,2017-08-16,2017-08-14,2017-11-14,0.01058899232490763
USD-SOFRCMP-OFFSET2-3M,2017-08-17,2017-08-15,2017-11-15,0.010591172055333352
USD-SOFRCMP-OFFSET2-3M,2017-08-18,2017-08-16,2017-11-16,0.010596621379883212
USD-SOFRCMP-OFFSET2-3M,2017-08-21,2017-08-17,2017-11-17,0.010605340316111867
USD-SOFRCMP-OFFSET2-3M,2017-08-22,2017-08-18,2017-11-20,0.010628231389671675
USD-SOFRCMP-OFFSET2-3M,2017-08-23,2017-08-21,2017-11-21,0.010633675417947165
USD-SOFRCMP-OFFSET2-3M,2017-08-24,2017-08-22,2017-11-22,0.010636945054452186
USD-SOFRCMP-OFFSET2-3M,2017-08-25,2017-08-23,2017-11-24,0.010636854388933147
USD-SOFRCMP-OFFSET2-3M,2017-08-29,2017-08-25,2017-11-27,0.010645295851977007
USD-SOFRCMP-OFFSET2-3M,2017-08-30,2017-08-28,2017-11-28,0.010651109656380957
USD-SOFRCMP-OFFSET2-3M,2017-08-31,2017-08-29,2017-11-29,0.010651109656381826
USD-SOFRCMP-OFFSET2-3M,2017-09-01,2017-08-30,2017-11-30,0.010648929888422651
USD-SOFRCMP-OFFSET2-3M,2017-09-04,2017-08-31,2017-11-30,0.01065245950409988
USD-SOFRCMP-OFFSET2-3M,2017-09-05,2017-08-31,2017-11-30,0.01065245950409988
USD-SOFRCMP-OFFSET2-3M,2017-09-06,2017-09-01,2017-12-01,0.01064584855275221
USD-SOFRCMP-OFFSET2-3M,2017-09-07,2017-09-05,2017-12-05,0.010622722165675206
USD-SOFRCMP-OFFSET2-3M,2017-09-08,2017-09-06,2017-12-06,0.010624925805114921
USD-SOFRCMP-OFFSET2-3M,2017-09-11,2017-09-07,2017-12-07,0.010629333088885385
USD-SOFRCMP-OFFSET2-3M,2017-09-12,2017-09-08,2017-12-08,0.010632638554467512
USD-SOFRCMP-OFFSET2-3M,2017-09-13,2017-09-11,2017-12-11,0.010635943831844144
USD-SOFRCMP-OFFSET2-3M,2017-09-14,2017-09-12,2017-12-12,0.010635943831835361
USD-SOFRCMP-OFFSET2-3M,2017-09-15,2017-09-13,2017-12-13,0.010634842008450303
USD-SOFRCMP-OFFSET2-3M,2017-09-18,2017-09-14,2017-12-14,0.010634842008452938
USD-SOFRCMP-OFFSET2-3M,2017-09-19,2017-09-15,2017-12-15,0.010659082089394104
USD-SOFRCMP-OFFSET2-3M,2017-09-20,2017-09-18,2017-12-18,0.010741714161411495
USD-SOFRCMP-OFFSET2-3M,2017-09-21,2017-09-19,2017-12-19,0.010774769753724095
USD-SOFRCMP-OFFSET2-3M,2017-09-22,2017-09-20,2017-12-20,0.010812233101748765
USD-SOFRCMP-OFFSET2-3M,2017-09-25,2017-09-21,2017-12-21,0.010848594929996066
USD-SOFRCMP-OFFSET2-3M,2017-09-26,2017-09-22,2017-12-22,0.010886058975233573
USD-SOFRCMP-OFFSET2-3M,2017-09-27,2017-09-25,2017-12-26,0.011031477138080345
USD-SOFRCMP-OFFSET2-3M,2017-09-28,2017-09-26,2017-12-26,0.011041403377876093
USD-SOFRCMP-OFFSET2-3M,2017-09-29,2017-09-27,2017-12-27,0.011081073118513992
USD-SOFRCMP-OFFSET2-3M,2017-10-02,2017-09-28,2017-12-28,0.011120743255841167
USD-SOFRCMP-OFFSET2-3M,2017-10-03,2017-09-29,2017-12-29,0.011160413789850587
USD-SOFRCMP-OFFSET2-3M,2017-10-04,2017-10-02,2018-01-02,0.011320305086093564
USD-SOFRCMP-OFFSET2-3M,2017-10-05,2017-10-03,2018-01-03,0.011360637671021077
USD-SOFRCMP-OFFSET2-3M,2017-10-06,2017-10-04,2018-01-04,0.011402060763030616
USD-SOFRCMP-OFFSET2-3M,2017-10-09,2017-10-05,2018-01-05,0.01144457438514985
USD-SOFRCMP-OFFSET2-3M,2017-10-10,2017-10-05,2018-01-05,0.01144457438514985
USD-SOFRCMP-OFFSET2-3M,2017-10-11,2017-10-06,2018-01-08,0.011520079093072982
USD-SOFRCMP-OFFSET2-3M,2017-10-12,2017-10-10,2018-01-10,0.011608095728954576
USD-SOFRCMP-OFFSET2-3M,2017-10-13,2017-10-11,2018-01-11,0.011635349474018791
USD-SOFRCMP-OFFSET2-3M,2017-10-16,2017-10-12,2018-01-12,0.01166805419519697
USD-SOFRCMP-OFFSET2-3M,2017-10-17,2017-10-13,2018-01-16,0.011765170731081671
USD-SOFRCMP-OFFSET2-3M,2017-10-18,2017-10-16,2018-01-16,0.0118152046147003
USD-SOFRCMP-OFFSET2-3M,2017-10-19,2017-10-17,2018-01-17,0.011853361839493178
USD-SOFRCMP-OFFSET2-3M,2017-10-20,2017-10-18,2018-01-18,0.011889339011190618
USD-SOFRCMP-OFFSET2-3M,2017-10-23,2017-10-19,2018-01-19,0.011922045830712904
USD-SOFRCMP-OFFSET2-3M,2017-10-24,2017-10-20,2018-01-22,0.011975692767541207
